,FLUIFORT granules
2023-01-01,1268455.2807996273
2023-02-01,860951.3058182597
2023-03-01,1305418.9394723177
2023-04-01,870417.1130235195
2023-05-01,685826.6042214632
2023-06-01,1021177.7622995377
2023-07-01,661734.4696843624
2023-08-01,581770.4741826057
2023-09-01,1473923.456048131
2023-10-01,1384056.5141246319
2023-11-01,1348523.8626132607
2023-12-01,1880700.9197517037
2024-01-01,1765257.0600130558
2024-02-01,1326669.9498102665
2024-03-01,1050015.900219977
2024-04-01,1024569.798353672
2024-05-01,970781.4628263712
2024-06-01,1028694.475538969
2024-07-01,831356.2828553915
2024-08-01,770475.2024306655
2024-09-01,1455436.0639629364
2024-10-01,1420739.3441420197
2024-11-01,1420670.6470989585
2024-12-01,1963865.2784544826
